"id","titulo","categoria","fecha_publicacion","fecha_extraccion","diario_nombre","autor","enlace"
"1227","SIGUE EN VIVO, Alianza Universidad vs Cienciano por el Torneo Clausura 2025","Deportes","2025-09-14 00:00:00","2025-09-14 18:57:05","El Comercio","","https://elcomercio.pe/deporte-total/futbol-peruano/"
"488","FBC Melgar busca neutralizar y sorprender en partido ante Universitario","Deportes","2025-09-13 00:00:00","2025-09-14 09:01:01","Diario Correo","","https://diariocorreo.pe/edicion/arequipa/"
"1570","La economía nacional tuvo en julio un gran impulso en el agro y creció 3.41%","Economia","2025-09-16 00:00:00","2025-09-16 19:49:24","Diario Correo","","https://diariocorreo.pe/economia/"
"489","El baño sorpresa a Horna, un “sí hay futuro” de Buse y la emoción del histórico Yzaga: lo que no se vio del memorable triunfo ante Portugal para ...","Deportes","2025-09-14 00:00:00","2025-09-14 09:01:12","El Comercio","","https://elcomercio.pe/deporte-total/"
"2204","Obama dice que el asesinato de Charlie Kirk fue ""horrendo"" y elogia la respuesta del gobernador de Utah","Mundo","2025-09-17 00:00:00","2025-09-17 13:23:21","CNN en Español","","https://cnnespanol.cnn.com/2025/09/17/eeuu/obama-charlie-kirk-respuesta-utah-cox-trax"
"490","En qué canal TV transmiten, FC Barcelona vs. Valencia por televisión abierta","Deportes","2025-09-14 00:00:00","2025-09-14 09:01:18","El Comercio","","https://elcomercio.pe/deporte-total/polideportivo/"
"491","Expertos advierten que las empresas deben acelerar su preparación para cumplir estándares globales de sostenibilidad","Economía","2025-09-14 00:00:00","2025-09-14 09:01:21","El Comercio","","https://elcomercio.pe/economia/"
"492","México: al menos quince muertos tras un choque múltiple en el estado de Yucatán","Mundo","2025-09-14 00:00:00","2025-09-14 09:01:33","El Comercio","","https://elcomercio.pe/mundo/mexico/"
"493","El Papa León XIV recibe a El Comercio y RPP en el Vaticano","Mundo","2025-09-14 00:00:00","2025-09-14 09:01:35","El Comercio","","https://elcomercio.pe/desde-la-redaccion/palabra-del-decano/"
"494","PorDeportesJorge Fossati contundente sobre Valera y Flores tras perderse los partidos de Perú: ""Están como para ser...""","Deportes","2025-09-12 00:00:00","2025-09-14 09:01:36","El Popular","","https://elpopular.pe/deportes/2025/09/12/jorge-fossati-contundente-sobre-alex-valera-y-edison-flores-tras-perderse-los-partidos-de-peru-estan-como-para-ser-universitario-vs-melgar-1189788"
